Variável,Descrição
ano,Ano-Base
v01,Oferta Energia Renovável - Hidráulica(%)
v02,Oferta Energia Renovável - Biomassa(%)
v03,Oferta Energia Renovável - Eólica(%)
v04,Oferta Energia Renovável - Solar(%)
v05,Oferta Energia Não Renovável - Gás Natural(%)
v06,Oferta Energia Não Renovável - Petróleo e Derivados(%)
v07,Oferta Energia Não Renovável - Nuclear(%)
v08,Oferta Energia Não Renovável - Carvão e Derivados(%)
v09,Oferta total(TWh)
v10,Consumo Transportes(%)
v11,Consumo Indústrias(%)
v12,Consumo Setor Energético(%)
v13,Consumo Residências(%)
v14,Consumo Serviços(%)
v15,Consumo Agropecuária(%)
v16,Consumo Energia Indústria - Renováveis(%)
v17,Consumo Energia Indústria - Não Renováveis(%)
v18,Consumo Energia Transportes - Renováveis(%)
v19,Consumo Energia Transporte - Não Renováveis(%)
v20,Consumo Energia Residencial - Renováveis(%)
v21,Consumo Energia Residencial - Não Renováveis(%)
v22,Capacidade Instalada - Hidrelétrica(MW)
v23,Capacidade Instalada - Térmica(MW)
v24,Capacidade Instalada - Eólica(MW)
v25,Capacidade Instalada - Solar(MW)
v26,Geração Distribuída - Solar(%)
v27,Geração Distribuída - Hidráulica(%)
v28,Geração Distribuída - Eólica(%)
v29,Geração Distribuída - Gás Natural(%)
v30,Geração Distribuída - Outras Renováveis(%)
v31,Emissões de CO2 pela geração elétrica(MtCO2)
v32,Perdas de Energia(GWh)
v33,Perdas de Energia(%)
v34,Fator de Emissão de CO2(tCO2/MWh)
v35,Emissão de CO2 nas perdas de Energia (MtCO2)
v36,Tarfia Média(R$/MWh)
v37,Tarifa Média Tensão A1(R$/MWh)
v38,Tarifa Média Tensão A2(R$/MWh)
v39,Tarifa Média Tensão A3(R$/MWh)
v40,Tarifa Média Tensão A3a(R$/MWh)
v41,Tarifa Média Tensão A4(R$/MWh)
v42,Tarifa Média Tensão AS(R$/MWh)
v43,Tarifa Média Tensão BT(R$/MWh)
v44,Consumo Médio Tensão ATR(GWh)
v45,Consumo Médio Tensão A1(GWh)
v46,Consumo Médio Tensão A2(GWh)
v47,Consumo Médio Tensão A3(GWh)
v48,Consumo Médio Tensão A3a(GWh)
v49,Consumo Médio Tensão A4(GWh)
v50,Consumo Médio Tensão AS(GWh)
v51,Consumo Médio Tensão BT(GWh)
v52,Economia de Energia(TWh)
v53,Economia na Emissão de CO2(MtCO2)
v54,Demanda Retirada da Ponta(MW)
v55,Energy Security(%)
v56,Environmental Sustainability(%)
v57,Energy Equity Score
rank,Rank
