Variavel,Descricao
ano,Ano-Base
v01,Oferta Energia Renovavel - Hidraulica(%)
v02,Oferta Energia Renovavel - Biomassa(%)
v03,Oferta Energia Renovavel - Eolica(%)
v04,Oferta Energia Renovavel - Solar(%)
v05,Oferta Energia Nao Renovavel - Gas Natural(%)
v06,Oferta Energia Nao Renovavel - Petroleo e Derivados(%)
v07,Oferta Energia Nao Renovavel - Nuclear(%)
v08,Oferta Energia Nao Renovavel - Carvao e Derivados(%)
v09,Oferta total(TWh)
v10,Consumo Transportes(%)
v11,Consumo Industrias(%)
v12,Consumo Setor Energetico(%)
v13,Consumo Residencias(%)
v14,Consumo Servicos(%)
v15,Consumo Agropecuaria(%)
v16,Consumo Energia Industria - Renovaveis(%)
v17,Consumo Energia Industria - Nao Renovaveis(%)
v18,Consumo Energia Transportes - Renovaveis(%)
v19,Consumo Energia Transporte - Nao Renovaveis(%)
v20,Consumo Energia Residencial - Renovaveis(%)
v21,Consumo Energia Residencial - Nao Renovaveis(%)
v22,Capacidade Instalada - Hidreletrica(MW)
v23,Capacidade Instalada - Termica(MW)
v24,Capacidade Instalada - Eolica(MW)
v25,Capacidade Instalada - Solar(MW)
v26,Geracao Distribuida - Solar(%)
v27,Geracao Distribuida - Hidraulica(%)
v28,Geracao Distribuida - Eolica(%)
v29,Geracao Distribuida - Gas Natural(%)
v30,Geracao Distribuida - Outras Renovaveis(%)
v31,Emissoes de CO2 pela gracao eletrica(MtCO2)
v32,Perdas de Energia(GWh)
v33,Perdas de Energia(%)
v34,Fator de Emissao de CO2(tCO2/MWh)
v35,Emissao de CO2 nas perdas de Energia (MtCO2)
v36,Tarfia Media(R$/MWh)
v37,Tarifa Media Tensao A1(R$/MWh)
v38,Tarifa Media Tensao A2(R$/MWh)
v39,Tarifa Media Tensao A3(R$/MWh)
v40,Tarifa Media Tensao A3a(R$/MWh)
v41,Tarifa Media Tensao A4(R$/MWh)
v42,Tarifa Media Tensao AS(R$/MWh)
v43,Tarifa Media Tensao BT(R$/MWh)
v44,Consumo Medio Tensao ATR(GWh)
v45,Consumo Medio Tensao A1(GWh)
v46,Consumo Medio Tensao A2(GWh)
v47,Consumo Medio Tensao A3(GWh)
v48,Consumo Medio Tensao A3a(GWh)
v49,Consumo Medio Tensao A4(GWh)
v50,Consumo Medio Tensao AS(GWh)
v51,Consumo Medio Tensao BT(GWh)
v52,Economia de Energia(TWh)
v53,Economia na Emissao de CO2(MtCO2)
v54,Demanda Retirada da Ponta(MW)
v55,Energy Security(%)
v56,Environmental Sustainability(%)
v57,Energy Equity Score
rank,Rank
